+------------------------------------------------------------+----------------+------------------+--------------+--------------+--------------+
| file                                                       | stink_score    | churn_times_cost | churn        | cost         | coverage     |
| app/controllers/suppliers/omniauth_callbacks_controller.rb | 0.0            | 0.0              | 2            | 0.0          | 0.0          |
| app/channels/application_cable/connection.rb               | 0.0            | 0.0              | 1            | 0.0          | 0.0          |
| app/channels/application_cable/channel.rb                  | 0.0            | 0.0              | 1            | 0.0          | 0.0          |
| app/models/user_product.rb                                 | 0.0            | 0.0              | 3            | 0.0          | 100.0        |
| app/models/broker.rb                                       | 0.0            | 0.0              | 7            | 0.0          | 0.0          |
| app/models/concrete_product.rb                             | 0.0            | 0.0              | 2            | 0.0          | 100.0        |
| app/models/application_record.rb                           | 0.0            | 0.0              | 1            | 0.0          | 0.0          |
+------------------------------------------------------------+----------------+------------------+--------------+--------------+--------------+

StinkScore Total: 12178.330000000002
Modules Analysed: 70
StinkScore Average: 173.97614285714286
Worst StinkScore: 1939.92 (app/controllers/broker_responses_controller.rb)

